56,31	0	0
98,31	46.0	0
55,31	83.0	0
24,31	145.0	0
56,31	145.0	0
56,31	155.0	0
55,31	159.0	0
56,31	197.0	0
56,31	197.0	0
56,57,55,31	251.0	0
56,31	267.0	0
56,31	397.0	0
56,31	422.0	0
24,31	429.0	0
65,97,98,122,72,137,55,120,57,56,24,31	467.0	0
57,31	481.0	0
57,31	503.0	0
72,31	506.0	0
56,57,55,31	506.0	0
57,31	519.0	0
57,31	519.0	0
57,31	544.0	0
57,31	574.0	0
57,31	575.0	0
57,31	575.0	0
57,31	575.0	0
56,31	582.0	0
57,31	611.0	0
57,31	611.0	0
57,31	611.0	0
56,31	772.0	0
56,31	848.0	0
65,31	858.0	0
56,31	894.0	0
56,31	963.0	0
72,31	964.0	0
56,31	993.0	0
72,57,31	1009.0	0
57,31	1062.0	0
55,31	1309.0	0
72,97	1314.0	0
56,31	1323.0	0
57,31	1360.0	0
24,57	1363.0	0
56,55	1368.0	0
57,31	1370.0	0
97,31	1371.0	0
97,31	1376.0	0
56,31	1378.0	0
56,57,31	1378.0	0
56,31	1379.0	0
56,31	1385.0	0
56,31	1414.0	0
57,31	1415.0	0
57,55	1416.0	0
57,55	1422.0	0
57,31	1430.0	0
72,31	1439.0	0
57,31	1439.0	0
56,31	1446.0	0
40,31	1468.0	0
56,55	1470.0	0
56,31	1470.0	0
56,57	1475.0	0
56,31	1478.0	0
55,56,57,59,31	1483.0	0
56,55	1484.0	0
56,3	1490.0	0
56,31	1492.0	0
56,59	1498.0	0
55,56,57,59,31	1500.0	0
57,55	1501.0	0
57,55	1529.0	0
55,56,57,59,31	1530.0	0
72,31	1530.0	0
55,56,57,59,30,31	1536.0	0
56,57,55,31	1536.0	0
55,56,57,59,31	1536.0	0
56,31	1569.0	0
57,31	1623.0	0
57,31	1628.0	0
40,31	1628.0	0
137,28	1630.0	0
137	1631.0	0
137,28	1639.0	0
56,31	1643.0	0
24,82	1644.0	0
40,31	1644.0	0
40,31	1644.0	0
72,46	1645.0	0
56,31	1646.0	0
137,28	1652.0	0
137,28	1661.0	0
57,31	1704.0	0
40,31	1705.0	0
40,31	1707.0	0
40,97	1712.0	0
59,31	1715.0	0
