0,1	3235
1,2,3	3367
1,4	3464
1,4	3480
1,5	3481
1,2	3511
1,5	3556
1,6	3640
1,5	3641
1,7	3718
1,7	3719
1,3	3733
8,1	3741
1,4	3779
1,4	3801
1,5	3901
8,9,1	3932
1,6,8,9,10,11	4253
1,2	4284
0,1	4368
1,6	4413
1,6	4421
1,4	4521
1,4,5	4530
1,6	4629
1,5,6	4637
1,4	4650
1,12	4681
1,2	4696
1,2,3	4706
9,1	4750
1,4,5,6,9,13	4750
1,14	4819
1,2	4828
1,4,5,8,9,10	4840
1,15	4842
1,4	4858
16,1	4903
16,1	4910
16,1	4911
1,4,5,6,9,13	5003
16,1	5026
9,5,1	5034
1,14	5070
1,4,5,9,13,17	5071
1,14	5111
1,4	5111
1,12	5117
1,14	5180
1,18	5294
1,4	5325
1,4	5325
1,4	5439
1,19	5440
1,19	5440
0,1	5461
1,18	5493
1,6	5500
9,4,5,1	5516
1,4	5621
9,1	5713
9,4,5,1	5774
1,20,21,22,23,24,25	5822
1,4,5	5828
1,13	5829
1,26	5889
1,21	5891
1,14	5936
1,5,9,10,11	5943
1,4	5973
1,22	6051
1,4	6080
1,4,5	6080
1,5	6126
1,14	6128
1,5	6149
1,4,5	6157
1,5	6188
1,4,5	6195
1,27	6212
1,5	6233
1,28	6236
1,5	6243
1,4,5	6248
9,1	6288
9,1	6288
1,29	6288
1,4,5	6302
1,4	6358
1,4	6358
9,4,5,1	6363
1,30	6372
1,4	6373
1,5	6447
1,14	6456
0,1	6464
1,15	6502
1,11	6511
1,15	6526
9,4,5,1	6609
1,14	6610
1,30	6631
1,7	6664
1,14	6693
1,31	6718
1,5	6726
1,14	6739
9,4,5,1	6784
9,4,5,1	6787
1,6	6823
1,6	6826
1,5	6830
1,4,5,6,7,8,9,10,11,13,28	6832
1,5	6833
1,4,5,6,7,8,9,10,11,13,28	6835
1,14	6839
1,14	6842
1,4	6876
1,4	6877
1,4	6880
1,4	6880
1,11	6890
1,22	6891
1,11	6894
1,22	6895
1,14	6906
1,4,5,6,9,10,11,13	6908
1,14	6910
1,4,5,6,9,10,11,13	6911
1,4	6929
1,13,6,15	6930
32,1	6931
1,4	6933
1,13,6,15	6933
32,1	6934
1,14	6946
1,14	6950
33,34	3841
33,35,36,14	3842
33,35	3941
33,37	3941
33,19	3963
33,19	3978
33,14	4254
33,38	4329
33,38	4330
33,36	4374
33,19	4552
33,19	4588
33,37	4591
33,14	4629
33,19	4690
33,19	4696
33,35	4802
33,35	4810
33,14	4813
33,19	4813
33,39	4851
33,19	4909
33,19	4911
40,33,19	4919
33,14	4920
33,14	4948
33,1	4948
33,14	4949
41,42,35,33	4949
33,2,3,43	4995
33,3	5009
33,19	5010
33,19	5016
33,36	5019
40,33	5134
40,33	5135
33,39	5164
33,36	5171
33,36,14	5178
33,35	5218
33,35	5232
33,35	5233
33,44	5239
33	5241
33,37,45	5242
33,36	5248
33,19	5249
33,34	5270
33,37	5279
33,46	5287
33,2,26	5287
33,46	5317
33,34	5325
33,36	5355
33,14	5400
33,19	5425
33,35	5430
33,19	5440
33,35	5445
33	5445
33,19	5499
33,45	5532
33,35	5537
33,45	5562
33,14	5656
33	5693
33	5693
33,14	5693
33,14	5694
33,35	5701
33,19	5716
33,44	5773
40,33,14,39	5776
33,14	5784
33,14	5806
33,14	5807
33,39	5821
33,19	5861
33,1	5889
33,14	5916
33,14	5916
33,14	5923
33,37	5929
33,14	5968
33,35	5968
33,35	5968
33,14	5973
33,14	5976
33,36	5977
33,39	5981
33,34	5983
33,37	5983
33,36	6029
33,35	6034
33,36	6034
33,19	6036
33,37	6044
33	6047
33,38	6061
33,36	6096
33,42,39	6130
33,35	6141
33,37	6142
33,39	6144
33,19	6144
33,19	6144
33,39	6182
33,45	6195
33,45	6195
33,45	6196
33,35	6230
33,35	6233
41,3,33	6235
33,37	6236
33,37	6242
33,37,45	6264
33,45	6265
33,35	6286
33,35	6290
33,45	6294
33,45	6302
33,19	6311
33,19	6311
33,19	6312
33,14	6342
33,14	6358
33,14	6363
33,35	6389
33,14	6389
33,14	6390
33,14	6394
33,35,37	6405
33,19	6405
33,14	6405
33,14	6448
33,39	6455
33,39	6456
33	6459
33,35	6470
33,35	6471
33	6511
33,14	6519
33,42	6524
33,14	6556
33,35	6562
33,35	6566
33,37	6571
33,47	6586
33,37,45	6610
33	6626
33,14	6634
48,33	6669
48,33	6670
33,35	6677
33,37	6678
33,34	6694
48,33	6712
33,37	6722
33,34,35	6722
33,35	6730
48,33	6731
48,33	6732
33,37	6740
33,34,35	6793
33,34,35	6796
33,34,35	6824
33,34,35	6827
33,14	6841
33,14	6844
48,33	6848
48,33	6851
33	6855
33	6858
33,35	6876
33,35	6879
33,34,35	6883
33,34,35	6887
33,36	6893
33,36	6896
48,33	6907
33,34,35	6907
48,33	6907
48,33	6910
33,34,35	6910
48,33	6910
33,14	6929
33,14	6932
48,33	6938
48,33	6939
48,33	6939
48,33	6939
48,33	6939
48,33	6940
48,33	6940
48,33	6942
48,33	6942
48,33	6942
48,33	6942
48,33	6942
48,33	6943
48,33	6943
48,33	6945
48,33	6947
48,33	6947
48,33	6948
48,33	6950
48,33	6950
33,37	6952
33,35	6954
33,35	6954
33,37	6955
33,35	6957
33,35	6957
41,35,33	6961
41,35,33	6964
33	6987
33	6990
33,35	7038
33,34,35	7047
33,37	7054
33,35	7061
33,35	7061
33,37,45	7061
33,35,37	7146
33,39	7214
33,39	7216
33,14	7252
33,43,44	7306
33,19	7339
33,14	7408
33,45	7477
33,35,37	7522
33,37	7553
33,35	7628
33,19	7629
33,35	7634
33,37	7735
33,34,35,37,41,19	7735
33,34,35,37,41,19	7742
33,37	7759
33,14	7864
33,14	7865
33,14	7894
33,14	7922
33,14	7922
33,37	7925
33,14	7950
33,35	7951
33,34,35,37,41,19	7958
33,34	7958
33,34,35	7964
33,14	8009
33,14	8009
33,14	8018
33,45	8019
33,49	8034
33,45	8056
33,14	8063
